id,question,option_a,option_b,option_c,option_d,correct_option
OIC-328-06-B,What is the main difference between Immobilisation and Stabilisation orthoses?,"Immobilisation orthoses are designed to immobilise a joint, while stabilisation orthoses aim to improve function.","Stabilisation orthoses are used for post-surgical rehabilitation, while immobilisation orthoses are used for acute injuries.",Both types of orthoses can be used for both immobilisation and stabilisation purposes.,"Immobilisation orthoses are only used for lower limb support, while stabilisation orthoses are used for upper limb support.",option_a
OIC-328-12-B,What is the main indication for a spa treatment in France?,"Rheumatology (osteoarthritis, chronic lumbago, inflammatory rheumatism outside flare-ups) ",Arteritis (generalized anxiety disorders),Respiratory tract diseases: ENT or pneumology,Cardio-Arterial Diseases,A
OIC-328-05-A,What is the main objective of orthotic treatment?,Downtime,Rest,Stabilization,Correction,b
OIC-328-08-A,What is a key component of a femoral prosthesis?,A sleeve that connects to the residual limb,A socket that accommodates both the residual limb and the sleeve,An articular end effector,A non-articular end effector,b
OIC-328-02-A,What is a non-drug therapy or medical device?,A product that can be used for both medical and cosmetic purposes,An instrument used to diagnose diseases,"Any material, including food, used in medicine",A software program designed to treat patients,a
OIC-328-07-B,What is the primary purpose of prescribing orthoses?,To treat musculoskeletal disorders,To improve posture,To enhance athletic performance,To provide a comfortable place to sit,to treat musculoskeletal disorders
OIC-328-04-B,What is a medical device that compensates for a deficient organic function?,A compression stocking,A lumbar belt,A simple prescription form,A standard thermoplastic material,option_a
OIC-328-10-B,What is the main purpose of a **Verticalizer**?,To provide support for standing,To assist with hygiene and transfer assistance,To manage pressure sores in bed,To control home automation systems,option_a
OIC-328-09-A,What is the main difference between custom-made and standard therapeutic footwear?,Custom-made orthopedic shoes are reimbursed at 100%.,Standard therapeutic footwear is reimbursed at 60%.,Both types of footwear have a similar price tag.,Orthoplasty is only used for foot deformities.,option_a
OIC-328-03-B,What is the main difference between a hospital stay charge (GHS) and a local public health service (LPPR) tariff?,"The GHS only covers devices used for community care, while the LPPR tariff covers all types of medical devices.","A hospital stay charge is only applicable to devices used in hospitals, while an LPPR tariff applies to all medical devices regardless of location.","Both charges are linked to the same procedure and device type, with no distinction between community care and individual use.",The GHS is a separate payment method from the LPPR tariff.,option_a
OIC-328-01-A,What is the primary goal of evaluating non-drug therapies?,Establishing a baseline for future treatment,Determining the effectiveness of the therapy,Assessing the device's safety and efficacy,Monitoring patient compliance with medication adherence,b
OIC-328-11-A,What is the correct process for prescribing a wheelchair in a hospital setting?,Prescribe by any doctor.,"Purchase or rent, covered by health insurance scheme.",Trial to ensure suitability and safety conducted by PRM doctor along with physiotherapist or occupational therapist.,Purchase only.,optiion_a
OIC-019-05-A,What is the main purpose of the General Scheme in France?,To provide universal coverage of the population,To manage only salaried workers in the private sector,"To cover all types of risks, including those not managed by other schemes",To achieve social security for students and unemployed individuals,option_a
OIC-019-12-A,What is the main purpose of setting up an ALD (Alzheimer's Disease) care protocol?,To provide comprehensive coverage for patients with Alzheimer's disease,To set aside a portion of the patient's assets for their treatment,To establish a system for tracking and managing the costs associated with treating patients with Alzheimer's disease,To create a framework for determining eligibility for government assistance programs,c
OIC-019-08-A,What is the main difference between the agricultural scheme (MSA) and the general Social Security scheme?,"The agricultural scheme covers 5% of the French population, while the general scheme covers 88%.",The MSA has a higher ratio of contributors to beneficiaries than the general scheme.,Both schemes are managed by the same organization and operate under the same rules.,The agricultural scheme is more expensive for members than the general scheme.,option_a
OIC-019-04-B,What is the main source of funding for social protection in France?,Employer contributions,Earmarked taxes,Transfers of tax resources paid on a permanent basis to social security schemes,State public contributions,option_b
OIC-019-10-A,What is the main purpose of the 'ticket modérateur'?,To reduce healthcare costs,To increase patient responsibility for healthcare expenses,To provide financial assistance to patients with high medical bills,To regulate healthcare consumption by making patients financially responsible,d
OIC-019-07-B,What is the main purpose of the National Health Insurance Expenditure Target (ONDAM) in France?,To regulate health insurance expenditure,To set a minimum amount for public and private establishments,To monitor the effectiveness of healthcare services,To provide financial incentives to reduce overspending,a
OIC-019-13-B,What is the main difference between cash benefits and benefits in kind?,"Cash benefits are provided for illness, maternity, or accident at work, while benefits in kind are reimbursed for healthcare costs incurred as a result of these events.","Benefits in kind are only paid if the person is insured by the health insurance scheme, while cash benefits can be claimed regardless of employment status.","Cash benefits and benefits in kind are both provided to employees who are off work due to illness or injury, but benefits in kind have a higher co-payment threshold.","Benefits in kind are only paid for certain medical procedures, such as prenatal examinations, while cash benefits cover all healthcare costs incurred during the event.",option_a
OIC-019-03-B,What percentage of France's Gross Domestic Product accounts for social protection benefits?,35%,40%,45%,50%,a
